Var1,weights
SLC38A2,0.87496554851532
EEPD1,0.829556107521057
NAA16,0.794770658016205
C4orf33,0.784952938556671
TTC21B,0.780411899089813
RCC2,0.776822090148926
LINC01102,0.766144752502441
SCAF11,0.765314161777496
LCA5,0.764665365219116
ST3GAL5,0.758631110191345
TRIP11,0.75854104757309
LRRC49,0.757223665714264
C6orf47,0.745671570301056
TAS2R30,0.738235175609589
MTAP,0.73423558473587
CTTNBP2,0.732112348079681
CTSC,0.731732547283173
CCDC136,0.724693775177002
SSH3,0.723828911781311
ABCA6,0.720186829566956
CEP152,0.719682931900024
TIAM1,0.708777725696564
FKBP5,0.707928001880646
TAS2R43,0.705466091632843
CEP95,0.70224541425705
PECR,0.700709104537964
AMD1,0.698349714279175
TAS2R31,0.698141813278198
ZCCHC8,0.697887897491455
UBAP1L,0.695944666862488
BMS1P2,0.694384515285492
MKNK2,0.692548751831055
GUSBP4,0.690107643604279
SPECC1,0.688735604286194
GIT2,0.683867990970612
TUBE1,0.683729529380798
SECISBP2,0.683251738548279
ZNF268,0.679567098617554
PPARD,0.679313540458679
DSCC1,0.674105107784271
RSPO2,0.673624515533447
ANKRD13A,0.673592507839203
PHKA2,0.67315673828125
SORBS3,0.672103881835938
GIGYF1,0.671510100364685
TAS2R45,0.668463230133057
DUBR,0.665940046310425
NXPE3,0.664462804794312
PDZD8,0.663251757621765
SZT2,0.65882271528244
UBA3,0.649292707443237
TMEM145,0.648122668266296
ITGB1,0.645887732505798
FZD6,0.645025372505188
RMI1,0.644863843917847
WDPCP,0.643735349178314
N4BP2L2,0.641936838626862
BTBD3,0.641153395175934
CTNNA1,0.639031529426575
RAPGEF6,0.636007964611053
BTN2A2,0.633993983268738
ITFG2,0.633835911750793
MAML1,0.63294243812561
OLR1,0.631502628326416
C19orf25,0.631092011928558
FRYL,0.628934741020203
USF2,0.626780569553375
ERMP1,0.622329771518707
PTPRD,0.622302114963531
PLCL1,0.620146036148071
SAV1,0.619188666343689
LOC389834,0.61833256483078
TAS2R5,0.617297410964966
SEPT12,0.615359842777252
DOT1L,0.613894820213318
PAN2,0.613533914089203
