epifc,episc,yeo7,yeo17,fcrank,scrank,s1fcrank,s2fcrank,s3fcrank,s1scrank,s2scrank,s3scrank
0.053981579841635,-0.103726113910664,1,5,303,17,296,241,299,58,100,121
0.049344860163422,-0.091752688637094,1,16,300,25,339,255,197,62,122,137
0.071548175623466,-0.004323231661271,1,1,323,206,305,236,260,223,210,181
0.103600362507124,0.143417211025749,1,2,347,375,393,201,263,381,315,347
0.207528224305093,0.266566555784868,1,1,388,400,392,346,349,397,396,400
0.192893591675473,0.197025594761717,1,1,381,388,309,391,351,386,382,374
0.026652222151343,0.104826801788886,1,16,273,365,332,204,137,365,249,321
0.142334877895873,0.001052514840062,1,5,361,219,354,323,312,281,198,144
0.219830587401746,0.263326284882024,1,1,389,399,375,385,360,393,398,399
0.155048258812608,0.197088216271767,1,2,370,389,365,297,345,387,334,393
0.255405614010368,0.225994254327008,1,2,396,397,399,383,366,390,354,397
0.242984058567928,0.217149019491344,1,1,395,395,346,397,382,383,397,391
0.061045701130152,0.173867464512724,1,2,314,382,287,265,157,394,271,368
0.206587957938858,0.180420432942238,1,1,387,384,345,393,359,388,363,357
0.32656574175144,0.210691417886848,1,1,400,393,397,400,393,389,361,394
0.092297682333549,0.220981887727828,1,2,338,396,379,183,244,400,352,365
0.132323218451317,0.038433914784258,1,1,356,304,374,289,318,368,217,99
0.323429014950917,0.228781281471281,1,2,398,398,400,398,386,399,343,392
0.240224623399624,0.207749890223337,1,1,394,390,389,392,374,396,366,382
0.059472493821287,0.102439570325367,1,16,311,364,358,174,140,377,279,180
0.20249079238668,0.18643111376421,1,2,385,385,395,325,327,395,319,353
0.097537159123412,0.178894870110688,1,2,343,383,377,190,238,391,338,303
0.112046278947553,0.118750479035413,1,1,351,369,343,281,285,385,269,227
0.224427975876357,0.209367557097173,1,1,391,392,387,377,365,392,345,387
0.140588717000239,0.133480921890167,1,2,360,371,371,234,298,367,303,318
0.072784756015229,0.160122854348543,1,2,325,378,356,146,188,382,291,360
0.074089789907266,0.193897842443943,1,1,326,386,316,202,234,398,337,324
0.016398298767078,0.031066227046626,1,5,257,290,294,94,132,379,121,40
0.071354612747693,0.10590975111236,1,2,322,367,315,188,232,372,264,257
0.022064302541497,0.097722245447726,1,2,265,363,318,78,108,351,242,294
0.008611444451445,-0.007789984204727,1,5,249,196,347,60,80,270,92,78
-0.026358894925269,-0.042359361097184,2,4,196,114,162,256,213,175,160,214
-0.072186155425339,-0.043756442034888,2,4,107,113,117,144,228,210,88,139
-0.018402378186474,0.003563150336716,2,4,204,221,146,285,241,282,135,197
-0.016467671918601,-0.05497875797984,2,4,208,84,133,278,289,77,185,263
0.002164665862377,0.018354284840344,2,4,238,260,208,245,209,313,124,291
-0.09577692921602,-0.041594310893138,2,4,67,116,82,118,216,344,51,19
-0.084647426810952,0.053808282968909,2,4,85,326,177,61,114,375,205,167
0.018519209204121,-0.011868672157253,2,4,259,187,191,269,308,153,171,371
0.002595273514507,-0.019191988419138,2,4,239,168,167,286,313,173,108,254
0.010062462456059,0.021277066205357,2,4,251,269,236,252,240,232,144,343
0.02190934111843,0.040509114699695,2,4,264,308,210,279,317,258,138,322
